date,day,aircraft,helicopter,tank,APC,field artillery,BUK,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,Total
2/26/2022,3,27,26,146,706,49,1,4,30,60,2,2,0,1053
2/28/2022,5,29,29,150,816,74,1,21,291,60,3,2,5,1481
3/1/2022,6,29,29,198,846,77,1,24,305,60,3,2,7,1581
3/2/2022,7,30,31,211,862,85,1,40,355,60,3,2,9,1689
3/3/2022,8,30,31,217,900,90,1,42,374,60,3,2,11,1761
3/4/2022,9,33,37,251,939,105,1,50,404,60,3,2,18,1903
3/5/2022,10,39,40,269,945,105,1,50,409,60,3,2,19,1942
3/6/2022,11,44,48,285,985,109,1,50,447,60,4,2,21,2056
3/7/2022,12,46,68,290,999,117,1,50,454,60,7,3,23,2118
3/8/2022,13,48,80,303,1036,120,1,56,474,60,7,3,27,2215
3/9/2022,14,49,81,317,1070,120,1,56,482,60,7,3,28,2274
3/10/2022,15,49,81,335,1105,123,1,56,526,60,7,3,29,2375
3/11/2022,16,57,83,353,1165,125,1,58,558,60,7,3,31,2501
3/12/2022,17,58,83,362,1205,135,1,62,585,60,7,3,33,2594
3/13/2022,18,74,86,374,1226,140,1,62,600,60,7,3,34,2667
3/14/2022,19,77,90,389,1249,150,1,64,617,60,8,3,34,2742
3/15/2022,20,81,95,404,1279,150,1,64,640,60,9,3,36,2822
